HMDB ID,URL,Common Name,SMILES,InChI Identifier,InChI Key
HMDB00051,https://hmdb.ca/metabolites/HMDB00051,Ammonia,N,InChI=1S/H3N/h1H3,QGZKDVFQNNGYKY-UHFFFAOYSA-N
HMDB00240,https://hmdb.ca/metabolites/HMDB00240,Sulfite,OS(O)=O,"InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)",LSNNMFCWUKXFEE-UHFFFAOYSA-N
HMDB00250,https://hmdb.ca/metabolites/HMDB00250,Pyrophosphate,OP(O)(=O)OP(O)(O)=O,"InChI=1S/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)",XPPKVPWEQAFLFU-UHFFFAOYSA-N
HMDB00257,https://hmdb.ca/metabolites/HMDB00257,Thiosulfate,OS(S)(=O)=O,"InChI=1S/H2O3S2/c1-5(2,3)4/h(H2,1,2,3,4)",DHCDFWKWKRSZHF-UHFFFAOYSA-N
HMDB00464,https://hmdb.ca/metabolites/HMDB00464,Calcium,[Ca++],InChI=1S/Ca/q+2,BHPQYMZQTOCNFJ-UHFFFAOYSA-N
HMDB00492,https://hmdb.ca/metabolites/HMDB00492,Chloride ion,[Cl-],InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M
HMDB00547,https://hmdb.ca/metabolites/HMDB00547,Magnesium,[Mg++],InChI=1S/Mg/q+2,JLVVSXFLKOJNIY-UHFFFAOYSA-N
HMDB00586,https://hmdb.ca/metabolites/HMDB00586,Potassium,[K+],InChI=1S/K/q+1,NPYPAHLBTDXSSS-UHFFFAOYSA-N
HMDB00588,https://hmdb.ca/metabolites/HMDB00588,Sodium,[Na+],InChI=1S/Na/q+1,FKNQFGJONOIPTF-UHFFFAOYSA-N
HMDB00598,https://hmdb.ca/metabolites/HMDB00598,Sulfide,[S--],InChI=1S/S/q-2,UCKMPCXJQFINFW-UHFFFAOYSA-N
HMDB00599,https://hmdb.ca/metabolites/HMDB00599,Chromium,[Cr+3],InChI=1S/Cr/q+3,BFGKITSFLPAWGI-UHFFFAOYSA-N
HMDB00608,https://hmdb.ca/metabolites/HMDB00608,Cobalt,[Co++],InChI=1S/Co/q+2,XLJKHNWPARRRJB-UHFFFAOYSA-N
HMDB00657,https://hmdb.ca/metabolites/HMDB00657,Copper,[Cu++],InChI=1S/Cu/q+2,JPVYNHNXODAKFH-UHFFFAOYSA-N
HMDB00662,https://hmdb.ca/metabolites/HMDB00662,Fluoride,[F-],InChI=1S/FH/h1H/p-1,KRHYYFGTRYWZRS-UHFFFAOYSA-M
HMDB00675,https://hmdb.ca/metabolites/HMDB00675,Iodine,II,InChI=1S/I2/c1-2,PNDPGZBMCMUPRI-UHFFFAOYSA-N
HMDB00692,https://hmdb.ca/metabolites/HMDB00692,Fe2+,[Fe++],InChI=1S/Fe/q+2,CWYNVVGOOAEACU-UHFFFAOYSA-N
HMDB00973,https://hmdb.ca/metabolites/HMDB00973,Phosphate,OP(O)(O)=O,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)",NBIIXXVUZAFLBC-UHFFFAOYSA-N
HMDB01033,https://hmdb.ca/metabolites/HMDB01033,Sulfite,OS(O)=O,"InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)",LSNNMFCWUKXFEE-UHFFFAOYSA-N
HMDB01039,https://hmdb.ca/metabolites/HMDB01039,Hydroxide,[OH-],InChI=1S/H2O/h1H2/p-1,XLYOFNOQVPJJNP-UHFFFAOYSA-M
HMDB01050,https://hmdb.ca/metabolites/HMDB01050,Hypochlorite,OCl,InChI=1S/ClHO/c1-2/h2H,QWPPOHNGKGFGJK-UHFFFAOYSA-N
HMDB01061,https://hmdb.ca/metabolites/HMDB01061,Iodate,O[I++](O)O,InChI=1S/H3IO3/c2-1(3)4/h2-4H/q+2,VNFOOPCKMZASMJ-UHFFFAOYSA-N
HMDB01247,https://hmdb.ca/metabolites/HMDB01247,Aluminum,[Al],InChI=1S/Al,XAGFODPZIPBFFR-UHFFFAOYSA-N
HMDB01302,https://hmdb.ca/metabolites/HMDB01302,Molybdenum,[Mo++],InChI=1S/Mo/q+2,MMVYPOCJESWGTC-UHFFFAOYSA-N
HMDB01303,https://hmdb.ca/metabolites/HMDB01303,Zinc,[Zn++],InChI=1S/Zn/q+2,PTFCDOFLOPIGGS-UHFFFAOYSA-N
